,CAPÍTULO I  FILIPA GUIMARÃES,SENTIMENTO GLOBAL,SENTIMENTO POSITIVO,TERMOS/EXPRESSÕES  POSITIVOS,SENTIMENTO NEGATIVO,TERMOS/EXPRESSÕES  NEGATIVOS
605,"O criado de Baltasar Coutinho, quando se atirara desamparado para trás do mato, deslocara um joelho, e caíra atordoado.",Negativo,0,,1,"""desmparado"", ""atordoado"""
606,"O arrieiro não examinou o efeito do tiro, porque atirara ao calhas, e achava natural que o fugitivo se não molestasse.",Negativo,0,,1,"""molestasse"""
607,"Quando voltou a si do aturdimento da queda, o homem arrastou-se até encontrar um cerrado de árvores silvestres, em que pernoitava a passarinhada.", Neutro,,,,
608,"Como os melros assustaram-se e esvoaçaram, o criado de Baltasar retrocedeu para o mato, pensando que aí escaparia; mas o arrieiro atirou enormes calhaus em todas as direções, e alguns acertavam mais que as balas do seu bacamarte.", Neutro,,,,
609,"João da Cruz tirou do bolso da jaqueta uma navalha, e começou a cortar a selva de carvalhas novas e giestais que se emaranhavam em redor do esconderijo.", Neutro,,,,
610,"Já cansado, porém, e vendo o pouco fruto do trabalho, disse ao arrieiro: — Preciso de lume, vai ali dentro buscar um pouco de restolho seco, e vamos pegar fogo ao mato, que este ladrão há de morrer assado.",Negativo,0,,1,"""ladrão"", ""cansado"""
611,"O perseguido, quando tal ouviu, tirou do maior perigo coragem para fugir, rompendo a espessura e saltando a parede da tapada para o campo de restolho em que o arrieiro andava a apanhar erva, e Simão esperava o desfecho da montaria.", Neutro,,,,
612,"Correram durante um bocado, o arrieiro e o académico atrás dele.", Neutro,,,,
613,"O fugitivo, sentindo-se alcançado, lançou-se de joelhos e mãos erguidas, pedindo perdão, e dizendo que o amo o obrigara àquela desgraça.",Negativo,0,,1,"""fugitivo"", ""perdão"", ""desgraça"""
614,"Já o bacamarte do arrieiro lhe ia direito ao peito, quando Simão lhe reteve o braço. — Não se mata assim num homem ajoelhado! — disse o rapaz — Levanta-te, rapaz! — Eu não posso, senhor.", Neutro,,,,
615,"Tenho uma perna quebrada, e estou aleijado para o resto da minha vida!",Negativo,0,,1,"""quebrada"""
616,"Neste instante, chegou o ferrador, e exclamou: — Então este tratante ainda está vivo!", Neutro,,,,
617,"E correu sobre ele com a navalha. — Não mate o homem, senhor João! — disse o filho do corregedor. — Como não o mato?!",Negativo,0,,1,"""mate o homem"""
618,Essa é de cabo-de-esquadra!, Neutro,,,,
619,Com que então o fidalgo quer pagar-me com a forca o favor de eu o ter salvo. hem? — Com a forca!? — atalhou Simão. — Claro!, Neutro,,,,
620,Quer que este homem viva para contar a história desta noite?, Neutro,,,,
621,Acha bem?,Positivo,1,"""bem""",0,
622,"Vossa senhoria, como é filho de ministro, não terá perigo; mas eu, que sou ferrador, posso contar que desta vez terei o baraço ao pescoço.", Neutro,,,,
623,Não me faz jeito o negócio., Neutro,,,,
624,"Deixe-me cá com o homem. — Não o mate, senhor João; peço-lhe.", Neutro,,,,
625,Deixe-o ir., Neutro,,,,
626,"Uma testemunha não nos pode fazer mal. — O quê! — redarguiu o ferrador —vossa senhoria é doutor, saberá muito, mas de justiça não sabe nada, e há de me perdoar meu atrevimento.",Negativo,0,,1,"""atrevimento"""
627,Basta uma só testemunha para guiar a justiça.,Positivo,1,"""justiça""",0,
628,"Às duas por três, uma testemunha de vista, e quatro de ouvir dizer, com o fidalgo de Castro D aire a mexer os pauzinhos, é forca certa, como dois e dois serem quatro. — Eu não digo nada; não me matem, que eu nem volto a ir para Castro D aire — exclamou o homem. — Deixe-o ficar, João da Cruz. vamos embora. — Isso! — acudiu o ferrador — Chame-me João da Cruz!", Neutro,,,,
629,Para este bandido ter a certeza de que sou eu!,Negativo,0,,1,"""bandido"""
630,"Com efeito, não sei o que pensar em vossa senhoria querer deixar com vida uma alma do diabo que lhe deu um tiro para o matar. — Pois, tem razão; mas eu não sei castigar miseráveis que me não resistem. — E se ele o tivesse matado, castigava-o Responda a isto, senhor doutor. — Vamos embora — disse Simão -, deixemos para aí esse miserável.",Negativo,0,,1,"""diabo"", ""matar"", ""castigar"""
631,"Mestre João pensou por alguns momentos, coçando a cabeça, e resmungou com descontentamento: — Vamos lá.",Negativo,0,,1,"""resmungou com descontentamento"""
632,"Quem o seu inimigo poupa, nas mãos lhe morre.",Negativo,0,,1,"""inimigo"", ""morre"""
633,"Tinham já saído do terreno e saltado a tapada, e iam a descer para a estrada, quando o ferrador exclamou: — Deixei a clavina encostada à sebe.", Neutro,,,,
634,"Vão indo, que eu venho já.", Neutro,,,,
635,"O arrieiro conduzia o cavalo, que estivera pacificamente a comer a relva dos lados marginais da estrada, quando Simão ouviu gritos.", Neutro,,,,
636,"Conjeturou com certeza o que era. — O João lá está a fazer justiça! — disse o arrieiro. — Deixá-lo lá, meu amo, que ele é homem que sabe o que faz.",Positivo,1,"""justiça""",0,
637,"João da Cruz apareceu daí a pouco, limpando com fetos a navalha ensanguentado. — Você é cruel, Sr.",Negativo,0,,1,"""ensanguentado"""
638,"João — disse o académico. — Não sou cruel — disse o ferrador —, o fidalgo está enganado comigo; é que, diz lá o ditado, morrer por morrer, morra o meu pai que é mais velho.",Negativo,0,,1,"""cruel"", ""morrer"""
639,Tanto faz matar um como dois.,Negativo,0,,1,"""matar"""
640,"Quando se está com a mão na massa, tanto faz amassar um alqueire como três.", Neutro,,,,
641,"As obras devem ser acabadas, ou então o melhor é não se meter a gente nelas.", Neutro,,,,
642,"Agora, levo a minha consciência sossegada.", Neutro,,,,
643,"A justiça que prove, se quiser; mas não hão de ser aqueles dois a dizer que eu os mandei de presente para o Diabo.",Negativo,0,,1,"""Diabo"""
644,"Simão teve um momento de horror perante as palavras do homicida, e de arrependimento de se ter ligado com tal homem.",Negativo,0,,1,"""horror"", ""homicida"", ""arrependimento"""
645,CAPÍTULO VII WILLY,,,,,
646,"O ferimento de Simão Botelho era demasiado melindroso para obedecer prontamente ao curativo do ferrador, enfronhado em aforismos de alveitaria.",Negativo,0,0,1,"""[...] demasiado melindroso [...]"""
647,"A bala passara-lhe de revés a porção muscular do braço esquerdo; mas algum vaso importante rompera, que não bastavam compressas a vedar-lhe o sangue.",Neutro,0,0,0,0
648,"Horas depois de ferido, o académico ficou febril, deixando-se medicar pelo ferrador.",Neutro,0,0,0,0
649,"O arrieiro partiu para Coimbra, encarregado de espalhar a notícia de que Simão Botelho estava no Porto.",Neutro,0,0,0,0
650,"Mais do que as dores e o receio da amputação, mortificava-o a ânsia de saber noticias de Teresa.",Neutro,0,0,0,0
651,"João da Cruz estava sempre de sobreaviso, precavido contra algum procedimento judicial de suspeitas que caíssem sobre ele.",Neutro,0,0,0,0
652,"As pessoas que vinham da feira na cidade contavam todas que dois homens tinham aparecido mortos, e constava serem criados de um fidalgo de Castro D aire.",Neutro,0,0,0,0
653,"Ninguém, porém, ouvira imputar o assassínio a determinadas pessoas.",Neutro,0,0,0,0
654,Na tarde desse dia recebeu Simão a seguinte carta de Teresa: Deus permita que tenhas chegado sem perigo a casa dessa boa gente.,Neutro,0,0,0,0
655,"Eu não sei o que se passa, mas há coisa misteriosa que eu não posso adivinhar.",Neutro,0,0,0,0
656,"O meu pai tem estado toda a manhã fechado com o primo, e a mim não me deixa sair do quarto.",Neutro,0,0,0,0
657,Mandou-me tirar o tinteiro; mas eu felizmente estava prevenida com outro.,Positivo,1,"""[...] eu felizmente estava prevenida.""",0,0
658,A nossa Senhora quis que a velha mendiga viesse pedir esmola debaixo da janela do meu quarto; senão não tinha modo de lhedar sinal para ela esperar esta carta.,Neutro,0,0,0,0
659,Não sei o que ela me disse.,Neutro,0,0,0,0
660,Falou-me em criados mortos; mas eu não consegui entender.,Neutro,0,0,0,0
661,A tua mana Rita está a acenar-me por trás dos vidros do teu quarto.,Neutro,0,0,0,0
662,Disse-me agora a tua mana que os amigos do meu primo tinham aparecido mortos perto da estrada.,Neutro,0,0,0,0
663,Agora já sei tudo.,Neutro,0,0,0,0
664,Estive para lhe dizer que tu estás aí; mas não me deram oportunidade.,Neutro,0,0,0,0
665,"O meu pai de hora a hora dá passeios pelo corredor, e solta uns ais muito altos. Ó meu querido Simão, que será feito de ti?",Neutro,0,0,0,0
666,Estarás ferido?,Neutro,0,0,0,0
667,Serei eu a causa da tua morte?,Neutro,0,0,0,0
668,Diz-me o que souberes.,Neutro,0,0,0,0
669,Eu já não peço a Deus senão a tua vida.,Neutro,0,0,0,0
670,"Foge desse sítio; vai para Coimbra, e espera que o tempo melhore a nossa situação.",Positivo,1,"""[...] que o tempo melhore a nossa situação.""",0,0
671,"Tem confiança nesta tua amada, que é digna da tua dedicação.",Positivo,1,"""que é digna da tua dedicação [...]""",0,0
672,A mendiga está a chegar: não quero demorá-la mais.,Neutro,0,0,0,0
673,"Perguntei-lhe se sabia de ti alguma coisa, e ela respondeu que não.",Neutro,0,0,0,0
674,Deus o queira.,Neutro,0,0,0,0
675,Respondeu Simão a querer tranquilizar o ânimo de Teresa.,Positivo,1,"""[...] a querer tranquilizar o ânimo de Teresa.""",0,0
676,"Do seu ferimento falava tão de passagem, que dava a supor que nem tinha sido necessário curativo.",Positivo,1,"""[...] que dava a supor que nem tinha sido necessário curativo.""",0,0
677,Prometia partir para Coimbra assim que o pudesse fazer sem receio de Teresa sofrer na sua ausência.,Neutro,0,0,0,0
678,"Animava-a a avisá-lo, assim que as ameaças do convento passassem a ser realizadas.",Neutro,0,0,0,0
679,"Entretanto, Baltasar Coutinho, chamado às autoridades judiciárias para esclarecer a devassa instaurada, respondeu que efetivamente os homens mortos eram os seus criados, de quem ele e a sua família se acompanhara de Castro D aire.",Negativo,0,0,1,"""[...] esclarecer a devassa instaurada [...]"""
680,"Acrescentou que não sabia que eles tivessem inimigos em Viseu, nem tinha contra alguém as mais leves presunções.",Neutro,0,0,0,0
681,"Os mais próximos vizinhos da localidade, onde os cadáveres tinham aparecido, depuseram apenas que, a alta horas da noite, tinham ouvido dois tiros ao mesmo tempo, e outro, pouco depois.",Neutro,0,0,0,0
682,"Um apenas adiantava coisa que não adiantava muito justiça, e vinha a ser que o mato, nas vizinhanças do local, fora espezinhado e cortado.",Neutro,0,0,0,0
683,Perante tal obscuridade a justiça não pode dar passo algum.,Neutro,0,0,0,0
684,Tadeu de Albuquerque era conivente no atentado contra a vida de Simão Botelho.,Neutro,0,0,0,0
685,"Fora o seu alvitre, quando o sobrinho denunciou a causa das saídas frequentes de Teresa, na noite do baile.",Neutro,0,0,0,0
686,Tanto ao velho como ao morgado convinha apagar algum indício que pudesse envolvê-los no mistério daquelas duas mortes.,Neutro,0,0,0,0
687,Os criados não mereciam a pena de um desforço que implicasse a desonra dos seus amos.,Negativo,0,0,1,"""[...] não mereciam a pena de um desforço [...]"""
688,Provas contra Simão Botelho não podiam aduzi-las.,Neutro,0,0,0,0
689,"Àquela hora supunham eles que estaria a caminho de Coimbra, ou refugiado em casa do seu pai.",Neutro,0,0,0,0
690,"Restava-lhes ainda a esperança de que ele tivesse sido ferido, e fosse morre longe do local em que o tinham atacado.",Neutro,0,0,0,0
691,"Quanto a Teresa, resolveu Albuquerque encerrá-la num convento do Porto, e escolheu Monchique, onde era prioresa uma sua parenta próxima.",Neutro,0,0,0,0
692,"Escreveu à prelada para lhe preparar aposentos, e ao procurador para negociar as licenças eclesiásticas para a entrada.",Neutro,0,0,0,0
693,"Todavia, receando o velho algum incidente no espaço de tempo que esperava até se conseguirem as licenças, resolveu não ter consigo Teresa, e solicitou a retenção temporária dela num convento de Viseu.",Neutro,0,0,0,0
694,"Acabara Teresa de ler e esconder no seio a resposta de Simão Botelho, que a mendiga lhe passara ao escurecer, pendente de uma linha, quando o pai entrou no seu quarto, e a mandou vestir-se.",Neutro,0,0,0,0
695,"A menina obedeceu, agarrando numa capa e num lenço. — Vista-se como quem é: lembre-se que ainda tem os meus apelidos — disse com severidade o velho. — Pensei que não era preciso vestir-me melhor para sair à noite. — disse Teresa. — E a senhora sabe para onde vai? — Não sei.",Negativo,0,0,1,"""[...] disse com severidade o velho. [...] """
696,"O meu pai não mo disse. — Então vista-se, e não me dê leis. — Mas, meu pai, ouça-me um momento. — Diga. — Se a sua ideia é obrigar-me a casar com o meu primo… — E daí? — Decerto que não caso; morro, e morro contente, mas não caso. — Nem ele a quer.",Neutro,0,0,0,0
697,A senhora é indigna de Baltasar Coutinho.,Negativo,0,0,1,"[...] é indigna [...]"""
698,Um homem do meu sangue não aceita para esposa uma mulher que fala de noite aos amantes nos quintais.,Negativo,0,0,1,"""[...] não aceita [...]"""
699,"Vista-se depressa, que vai para um convento. — Prontamente, meu pai.",Neutro,0,0,0,0
700,Esse destino já lho pedi eu muitas vezes. — Não quero reflexões.,Negativo,0,0,1,"""[...] - Não quero reflexões."""
701,Daqui a pouco apareça-me vestida.,Neutro,0,0,0,0
702,As suas primas esperam-na para a acompanharem.,Neutro,0,0,0,0
703,"Quando se viu sozinha, Teresa debulhou-se em lágrimas, e quis escrever a Simão.",Neutro,0,0,0,0
704,Mas àquela hora quem lhe levaria a carta?,Neutro,0,0,0,0
705,"Apelou para o retábulo da Virgem, que a ela fizera confidente do seu amor.",Neutro,0,0,0,0
706,"Pediu-lhe de joelhos que a protegesse, que desse forças a Simão para resistir ao golpe, e que a guarda-se constância através das desgraças que pudessem suceder no futuro.",Neutro,0,0,0,0
707,"Depois vestiu-se, comprimindo contra o seio um embrulho em que levava o tinteiro, o papel, e o macete das cartas de Simão.",Neutro,0,0,0,0
708,"Saiu do seu quarto, relanceando os olhos lagrimosos para o painel da Virgem, e encontrando o pai, pediu-lhe licença para levar consigo aquela devota imagem. — Lá irá ter — respondeu ele. — Se tivesse tanta vergonha como devoção, seria mais feliz do que há de ser.",Neutro,0,0,0,0
709,"Uma das primas, irmã de Baltasar, chamou-a de parte, e segredou-lhe: — Ó menina, ainda está na tua mão dares remédio à desordem desta casa. — Qual remédio? — perguntou Teresa com artificial seriedade. — Diz ao teu pai que irás casar com o mano Baltasar. — O primo Baltasar não me quer — respondeu ela a sorrir. — Quem te disse isso, Teresinha? — Disse-mo o meu pai. — Deixa falar o teu pai, que está desatinado com o amor que te tem.",Neutro,0,0,0,0
710,"Queres tu que eu lhe fale? — Para quê? — Para se resolver deste modo a desgraça de todos nós. — Estás a brincar, prima! — redarguiu Teresa. — Eu só hei de ser tua cunhada quando não tiver coração.",Neutro,0,0,0,0
711,O teu irmão sabe que eu amo outro homem.,Positivo,1,"""[...] eu amo [...]""",0,0
712,"Queria viver para ele; mas, se quiserem que eu morra por ele, abençoarei todos as minhas penas.",Positivo,1,"""Queria viver para ele [...]""",0,0
713,"Podes dizer isto ao primo Baltasar, e diz- lho também que me esqueça. — Então, vamos? — disse o velho. — Estou pronta, meu pai.",Neutro,0,0,0,0
714,Abriu-se a portaria do mosteiro.,Neutro,0,0,0,0
715,Teresa entrou sem uma lágrima.,Neutro,0,0,0,0
716,"Beijou a mão do seu pai, que ele não ousou recusar-lhe na presença das freiras.",Neutro,0,0,0,0
717,"Abraçou as primas, com um rosto de regozijo; e ao fechar-se a porta, exclamou, para grande espanto das monjas: — Estou mais livre que nunca.",Positivo,1,"""[...] com um rosto de regozijo [...]""",0,0
718,A liberdade do coração é tudo.,Neutro,0,0,0,0
719,"As freiras olharam-se entre si, como se ouvissem na palavra coração uma heresia, uma blasfémia proferida na casa do Senhor. — Que diz a menina? — perguntou a prioresa, fitando-a por cima dos óculos, e apanhando no lenço de Alcobaça a destilação do esturrinho. — Disse eu que me sentia aqui muito bem, minha senhora. — Não diga minha senhora — atalhou a escrivã. — Como hei de dizer? — Diga nossa madre prioresa. — Pois sim, nossa madre prioresa, disse eu que me sentia aqui muito bem. — Mas quem vem para estas casas de Deus não vem para se sentir bem — disse a nossa madre prioresa. — Não? — disse Teresa com sincera admiração. — Quem para aqui vem, menina, há de mortificar o espírito, e deixar lá fora as paixões mundanas.",Neutro,0,0,0,0
720,Ah!,Neutro,0,0,0,0
721,"Aqui está a nossa madre mestra de noviças, a quem compete encaminhá-la e dirigi-la.",Neutro,0,0,0,0
722,"Teresa não respondeu: fez um gesto de respeito à mestra de noviças, e seguiu o caminho que a prelada lhe ia indicando.",Neutro,0,0,0,0
723,"A nossa madre entrou nos seus aposentos, e disse a Teresa que era sua hóspede enquanto ali estivesse; e jurou que não sabia se o seu pai escolheria aquele convento ou outro. — Que importa que seja um ou outro? — disse Teresa. — É conforme.",Neutro,0,0,0,0
724,"O seu pai pode querer que a menina professe na ordem rica das bentas ou nas bernardas. — Professe! — exclamou Teresa. — Eu não quero ser freira aqui, nem noutra parte. — A senhora há de ser o que o seu pai quiser que seja. — Freira!?",Negativo,0,0,1,"""[...] Eu não quero ser freira aqui, nem noutra parte. [...]"""
725,"A isto não pode ninguém obrigar-me! — recalcitrou Teresa. — Isso assim é — retorquiu a prioresa -, mas, como a menina tem de noviciar um ano, sobra-lhe tempo para se habituar a esta vida, e verá que não há vida mais descansada para o corpo, nem mais saudável para a alma. — Mas nossa madre — disse Teresa, sorrindo, como se a ironia lhe fosse habitual — a senhora disse que a estas casas ninguém vem para se sentir bem. — É um modo de falar, menina.",Neutro,0,0,0,0
726,Todos temos as nossas mortificações e obrigações de coro e de serviços para que nem sempre o espírito está bem- disposto.,Neutro,0,0,0,0
727,Ora vê aí.,Neutro,0,0,0,0
728,"Mas em comparação com o que vai pelo mundo, o convento é um paraíso.",Positivo,1,"""[...] é um paraíso.""",0,0
729,"Aqui não há paixões, nem pensamentos que tirem o sono, nem a vontade de comer, bendito seja o Senhor!",Positivo,1,"""[...] bendito seja [...]""",0,0
730,"Vivemos umas com as outras, como Deus com os anjos.",Neutro,0,0,0,0
731,"O que uma quer, querem todas.",Neutro,0,0,0,0
732,"Más-línguas é coisa que a menina não há de achar aqui, nem intriguistas, nem murmurações de soalheiro.",Neutro,0,0,0,0
733,"Enfim, Deus fará o que for servido.",Neutro,0,0,0,0
734,Eu vou à cozinha buscar a ceia da menina e volto já.,Neutro,0,0,0,0
735,"Aqui a deixo com a senhora madre organista, que é uma pomba, e com a nossa mestra de noviças, que sabe dizer melhor que eu o que é a virtude destas santas casas.",Neutro,0,0,0,0
736,"Assim que a prioresa voltou costas, disse a organista à mestra de noviças: — Que impostora! — E que estúpida! — respondeu a outra. — A menina não se fie nesta trapalhona, e veja se o seu pai lhe dá outra companhia enquanto cá estiver, que a prioresa é a maior intriguista do convento.",Negativo,0,0,1,"""[...] impostora [...] estúpida [...] intriguista [...]"""
737,"Depois que fez sessenta anos, fala das paixões do mundo como quem as conhece por dentro e por fora.",Neutro,0,0,0,0
738,"Enquanto foi nova, era a freira que mais escândalos dava na casa; depois que se tornou velha tornou-se na mais ridícula, porque ainda querer amar e ser amada; agora, que está decrépita, ficou este mostrengo a fazer missões e a curar indigestões.",Negativo,0,0,1,"""[...] ridícula [...] mostrengo [...]"""
739,"Teresa, apesar da sua dor, não pôde reprimir uma risada, lembrando-se da vida de Deus com os anjos que as esposas do Senhor ali viviam, no dizer da madre prioresa.",Neutro,0,0,0,0
740,"Pouco depois, entrou a prelada com a ceia, e saíram as duas freiras. — Que lhe pareceram as duas religiosas que ficaram com a menina? — disse ela a Teresa. — Pareceram-me muito bem.",Positivo,1,"""[...] Pareceram-me muito bem.""",0,0
741,"A velha cerrou os beiços matizados com os restos do esturrinho líquido, e regougou: — Hum!",Neutro,0,0,0,0
742,"Ainda não sejam das piores, se fossem melhores, não se perdia nada.",Neutro,0,0,0,0
743,"Mas vamos a isto, menina; aqui tem duas pernas de galinha, e um caldo tão bom que o podem comer os anjos. — Eu não como nada, minha senhora — disse Teresa. — Ora essa! não come nada!?",Neutro,0,0,0,0
744,Há de comer; sem comer ninguém resiste.,Neutro,0,0,0,0
745,Paixões... que as leve o porco-sujo!,Neutro,0,0,0,0
746,"As mulheres é que ficam enganadas, e eles não têm que perder!",Negativo,0,0,0,"""[...] enganadas [...]"""
747,"Olhe que eu, cá de mim, até ao presente, Deus seja louvado, não sei o que são as paixões; mas quem tem cinquenta e cinco anos de convento tem muita experiência do que vê penar às outras doidivanas.",Neutro,0,0,0,0
748,"E para não ir mais longe, estas duas que daqui saíram têm pagado bem o seu tributo à asneira, Deus me perdoe se peco.",Negativo,0,0,1,"""[...] o seu tributo à asneira [...]"""
749,"A organista tem já os seus quarenta e bons anos, e ainda vai ao locutório derreter-se em finezas; a outra, apesar de ser mestra de noviças por falta de outra que quisesse sê-lo, se eu lhe não andasse com o olho em cima, estragava-me as raparigas.",Neutro,0,0,0,0
750,"Este edificante discurso de caridade foi interrompido pela madre escrivã, que vinha, palitando os dentes, pedir à prelada um copinho de certo vinho estomacal com que todas as noites era brindada. — Estava eu a dizer a esta menina as peças que são a organista e a mestra — disse a prioresa. — Oh! são para o que eu lhe prestar!",Neutro,0,0,0,0
751,Foram agora as duas para a cela da porteira.,Neutro,0,0,0,0
752,"A esta hora está a menina a ser cortada por aquelas línguas, que não perdoam a ninguém. — Vais ver se ouves alguma coisa, minha flor! — disse a prelada.",Neutro,0,0,0,0
753,"A escrivã, contente da missão, foi impercetivelmente ao longo dos dormitórios até parar a uma porta que não vedava o ruído estridente das risadas.",Neutro,0,0,0,0
754,"No entanto, dizia a prelada a Teresa: — Esta escrivã não é má rapariga: só tem o defeito de se tomar da pingoleta; depois, não há quem a ature.",Negativo,0,0,1,"""[...] só tem o defeito [...]"""
755,"Tem uma boa pensão, mas gasta tudo em vinho, e tem pretensões de entrar para o coro estando agora a fazer 55 anos, que é mesmo uma desgraça.",Negativo,0,0,1,"""[...] que é mesmo uma desgraça [...]"""
756,"Não tem outro defeito; é uma alma lavada, e amiga da sua amiga.",Positivo,1,"""[...] é uma alma lavada, e amiga [...]""",0,0
757,"É verdade que, às vezes. (aqui a prelada ergueu-se a escutar os dormitórios, e fechou por dentro a porta) é verdade que, às vezes, quando anda azoratada, dá por paus e por pedras e descobre os defeitos das suas amigas.",Neutro,0,0,0,0
758,"A mim já me levantou uma calúnia, dizendo que eu, quando saía do convento, não ia só a ares, e andava por lá a fazer o que fazem as outras.",Neutro,0,0,0,0
759,Que pouca-vergonha!,Negativo,0,0,1,"""Que pouca-vergonha!"""
760,"Lá que fosse a outra dizer tal coisa, ainda que não vá; mas ela, que tem sempre uns namorados pandilhas que bebem com ela à grade, isso é que me custa; mas, enfim, não há ninguém perfeito!",Neutro,0,0,0,0
761,Boa rapariga é ela.,Positivo,1,"""Boa rapariga é ela.""",0,0
762,"Se não fosse aquele maldito vício… Como começou a cantar o coro nesta ocasião, a veneranda prioresa bebeu o segundo cálice do vinho estomacal, e disse a Teresa que a esperasse um quarto de hora, que ela ia ao coro, e pouco se demoraria.",Negativo,0,0,1,"""[...] aquele maldito vício [...]"""
763,"Tinha ela saído, quando a escrivã entrou na mesma altura em que Teresa, com as mãos abertas sobre a face, dizia para si mesma: Um convento, meu Deus!",Neutro,0,0,0,0
764,"Isto é que é um convento? — Está sozinha? — perguntou a escrivã. — Estou, minha senhora. — Pois aquela grosseira vai-se embora, e deixa uma hóspede sozinha?",Negativo,0,0,1,"""[...] aquela grosseira [...]"""
765,Bem se vê que é filha de um funileiro!,Negativo,0,0,1,"""[...] é filha de um funileiro!"""
766,"Pois tinha tempo de ter prática do mundo, que tem andado por lá que se farte.",Neutro,0,0,0,0
767,"Eu havia de ir ao coro; mas não vou, para lhe fazer companhia, menina. — Vá, vá, minha senhora, que eu fico bem sozinha — disse Teresa, com esperança de poder desafogar em lágrimas a sua aflição. — Não vou, não!",Neutro,0,0,0,0
768,A menina aqui e morria de medo; mas a prelada não tarda aí.,Neutro,0,0,0,0
769,"Ela, se poder escapar-se do coro, não fica lá muito tempo.",Neutro,0,0,0,0
770,"Ia apostar que ela lhe esteve a falar mal de mim? — Não, minha senhora, pelo contrário. — Ora diga a verdade, menina!",Neutro,0,0,0,0
771,Eu sei que esta cegonha não fala bem de ninguém.,Negativo,0,0,1,"""[...] esta cegonha [...]"""
772,"Para ela tudo são libertinas e bêbedas. — Nada, não, minha senhora; nada me disse a respeito de alguma freira. — E se disse, deixá-la dizer.",Neutro,0,0,0,0
773,"Ela o vinho não o bebe, suga-o é uma esponja viva.",Neutro,0,0,0,0
774,"Enquanto à libertinagem, tomara eu tantos mil cruzados como de amantes ela tem tido!",Neutro,0,0,0,0
775,"Faz lá uma pequena ideia, menina!",Neutro,0,0,0,0
776,A escrivã bebeu um cálice de vinho da sua prelada e continuou: — Faz lá uma pequena ideia!,Neutro,0,0,0,0
777,Ela é velhíssima como a sé.,Neutro,0,0,0,0
778,"Quando eu professei já ela era velha como agora, com pouca diferença.",Neutro,0,0,0,0
779,Ora eu sou freira há vinte e seis anos; calcule a menina quantas arrobas de esturrinho ela tem atulhado naqueles narizes!,Neutro,0,0,0,0
780,"Pois olhe, quer me creia, quer não, tenho-lhe conhecido mais de uma dúzia de chichisbéus, não falando do padre capelão, que esse ainda agora lhe fornece a garrafeira, à nossa custa, entende-se.",Neutro,0,0,0,0
781,É uma dissipadora dos rendimentos da casa.,Negativo,0,0,1,"""É uma dissipadora [...]"""
782,"Eu, que sou escrivã, é que sei o que ela rouba.",Neutro,0,0,0,0
783,Tenho imensa pena de ver a menina hospedada em casa desta hipócrita.,Negativo,0,0,1,"""[...] desta hipócrita."""
784,"Não se deixe levar pelas imposturices dela, meu anjinho.",Neutro,0,0,0,0
785,"Eu sei o que o seu pai lhe disse, encarregou-a de não a deixar escrever, nem receber cartas; mas olhe, minha filha, se quiser escrever, eu dou-lhe tinteiro, papel, lacro e o meu quarto, se para lá quiser ir escrever.",Neutro,0,0,0,0
786,"Se tem alguém que lhe escreva, diga-lhe que mande as cartas em meu nome; eu chamo-me Dionísia da Imaculada Conceição. — Muito agradecida, minha senhora — disse Teresa, animada pela oferta. — Quem me dera poder mandar um recado para uma pobre mendiga que mora no beco do (…). — O que quiser, menina.",Neutro,0,0,0,0
787,Eu mando-o assim que for dia.,Neutro,0,0,0,0
788,Esteja descansada.,Neutro,0,0,0,0
789,"Não se fie em mais ninguém, senão em mim.",Neutro,0,0,0,0
790,Olhe que a mestra das noviças e a organista são duas falsas.,Negativo,0,0,1,"""[...] são duas falsas."""
791,"Não lhes dê trela, pois se as admite à sua confiança, está perdida.",Neutro,0,0,0,0
792,Aí vem a lesma.,Negativo,0,0,1,"""[...] a lesma."""
793,Falemos noutra coisa.,Neutro,0,0,0,0
794,"A prelada vinha entrando, e a escrivã prosseguiu assim: — Não há, não há nada mais agradável que a vida do convento, quando se tem a fortuna de ter uma prelada como a nossa.",Neutro,0,0,0,0
795,"Ah! és tu, amiga?",Neutro,0,0,0,0
796,"Olha se estivéssemos a falar mal de ti! — Eu sei que tu nunca falas mal de mim — disse a prelada, piscando o olho a Teresa. — Aí está essa menina que diga o que eu lhe estive a dizer das tuas boas qualidades. — Pois foi o que eu disse de ti — respondeu soror Dionísia da Imaculada Conceição — não precisas de perguntar, porque felizmente ouviste o que eu estava a dizer.",Neutro,0,0,0,0
797,"Oxalá que se pudesse dizer o mesmo das outras que desonram a casa, e trazem aqui tudo intrigado numa meada, que é mesmo coisa de pecado! — Então não vais ao coro, Nini? — disse a prioresa. — Agora já é tarde.",Neutro,0,0,0,0
798,"Tu absolves-me da falta, sim? — Absolvo, absolvo; mas dou-te como penitência beberes um copinho. — Do estomacal? — Pudera!",Neutro,0,0,0,0
799,"Dionísia cumpriu a penitência, e saiu para, dizia ela, deixar a prelada na sua hora de oração.",Neutro,0,0,0,0
800,"Não delongaremos nesta amostra do evangélico e exemplar viver do convento onde Tadeu de Albuquerque mandara a sua filha a respirar o puríssimo ar dos anjos, enquanto se lhe preparava crisol mais depurador dos sedimentos do vício no convento de Monchique.",Neutro,0,0,0,0
