Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7
Computational Aspects of Model-Based Reasoning,3,10.1007/978-3-319-30526-4_32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073890889&doi=10.1007%2f978-3-319-30526-4_32&partnerID=40&md5=95a77b3a005bece266e22e2de21d03ad,"Computational models and tools computationaltool provide increasingly solid foundations for the study of cognition and model-based reasoning, with knowledge generation knowledgegeneration in different types of cognizing agents, from the simplest ones like bacteria to the complex human distributed cognition. After the introduction of the computational turn, we proceed to models of computation and the relationship between information and computation. A distinction is made between mathematical and computational (executable) models computational(executable) model, which are central for biology and cognition. Computation as it appears in cognitive systems is physical, natural, embodied, physical, natural, embodied computation and distributed computation, and we explain how it relates to the symbol manipulation symbolmanipulation view of classical computationalism classicalcomputationalism. As present day models of distributed, asynchronous, heterogeneous, and concurrent networks distributed, asynchronous, heterogeneous, and concurrent networks are becoming increasingly well suited for modeling of cognitive systems with their dynamic properties, they can be used to study mechanisms of abduction and scientific discovery. We conclude the chapter with the presentation of software modeling with computationally automated reasoning and the discussion of model transformations and separation between semantics and ontology. © Springer-Verlag Berlin Heidelberg 2017.",Concrete Syntax,Model Transformation,Modeling Language,Turing Machine,Unify Modeling Language,,,,Dodig-Crnkovic G.,Cicchetti A.,,,,,
"Code and clay, data and dirt: Five thousand years of urban media",50,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057618527&partnerID=40&md5=3dd7814caec85c14db0674236660ca26,"For years, pundits have trumpeted the earthshattering changes that big data and smart networks will soon bring to our cities. But what if cities have long been built for intelligence, maybe for millennia? In Code and Clay, Data and Dirt Shannon Mattern advances the provocative argument that our urban spaces have been “smart” and mediated for thousands of years. Offering powerful new ways of thinking about our cities, Code and Clay, Data and Dirt goes far beyond the standard historical concepts of origins, development, revolutions, and the accomplishments of an elite few. Mattern shows that in their architecture, laws, street layouts, and civic knowledge-and through technologies including the telephone, telegraph, radio, printing, writing, and even the human voice-cities have long negotiated a rich exchange between analog and digital, code and clay, data and dirt, ether and ore. Mattern’s vivid prose takes readers through a historically and geographically broad range of stories, scenes, and locations, synthesizing a new narrative for our urban spaces. Taking media archaeology to the city’s streets, Code and Clay, Data and Dirt reveals new ways to write our urban, media, and cultural histories. © 2017 by the Regents of the University of Minnesota. All rights reserved.",,,,,,,,,Mattern S.,,,,,,
Effect of learning organization on organizational communication and organizational creativity in high-Tech Industry,4,10.12973/ejmste/78702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035013212&doi=10.12973%2fejmste%2f78702&partnerID=40&md5=c0dd1ba7fbbed221e79bd7a183c01432,"In face of the rapidly changing economic environment, the competitive advantages on which high-Tech Industry used to depend for the development are disappearing. The value of high-Tech Industry no longer depends on the possession of plants, equipment, and products, but on the intellectual property, customer confidence, and teamwork ability of business partners, infrastructure of telecommunications, and employees' creative potential and skills. How to construct the environment climate, in high-Tech Industry, for employees being happy to work, creating knowledge, learning, communicating and sharing as well as to guide employees' goals being consistent with organizational objectives to continuously contribute to the organization is the motivation of this study. Aiming at supervisors and employees of manufacturers in Weihai Torch Hi-Tech Science Park in Shandong Province, total 500 copies of questionnaire are distributed in this study. 376 valid copies are retrieved, with the retrieval rate 75%. The research results conclude that 1.learning organization presents positive and significant effects on organizational communication, 2.organizational communication reveals positive and remarkable effects on organizational creativity, and 3.learning organization shows positive effects on organizational creativity. According to the results, conclusion and suggestion are proposed, expecting to help high-Tech Industry become learning organizations and promote organizational communication and organizational creativity. © Authors.",High-tech industry,Learning organization,Organizational communication,Organizational creativity,,,,,Huang P.,Yao C.,,,,,
An investigation of the online presence of UK universities on Instagram,18,10.1108/OIR-02-2016-0057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028760083&doi=10.1108%2fOIR-02-2016-0057&partnerID=40&md5=7d73f62490ce332cd835bac398479637,"Purpose - Rising tuition fees and a growing importance on league tables has meant that university branding is becoming more of a necessity to attract prospective staff, students, and funding. Whilst university websites are an important branding tool, academic institutions are also beginning to exploit social media. Image-based social media services such as Instagram are particularly popular at the moment. It is therefore logical for universities to have a presence on popular image-based social media services such as Instagram. The purpose of this paper is to investigate the online presence of UK universities on Instagram in an initial investigation of use. Design/methodology/approach - This study utilizes webometric data collection, and content analysis methodology. Findings - The results indicate that at the time of data analysis for this investigation (In the Spring of 2015), UK universities had a limited presence on Instagram for general university accounts, with only 51 out of 128 institutions having an account. The most common types of images posted were humanizing (31.0 percent), showcasing (28.8 percent), and orienting (14.3 percent). Orienting images were more likely to receive likes than other image types, and crowdsourcing images were more likely to receive comments. Originality/value - This paper gives a valuable insight into the image posting practices of UK universities on Instagram. The findings are of value to heads of marketing, online content creators, social media campaign managers, and anyone who is responsible for the marketing, branding, and promoting of a university's services. © 2017 Emerald Publishing Limited.",Content analysis,Images,Instagram,Social media,Universities,,,,Stuart E.,Stuart D.,Thelwall M.,,,,
The Cambridge handbook of cognitive linguistics,21,10.1017/9781316339732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022184556&doi=10.1017%2f9781316339732&partnerID=40&md5=f653497ed04d8880249b55efd5cf37ba,"The best survey of cognitive linguistics available, this Handbook provides a thorough explanation of its rich methodology, key results, and interdisciplinary context. With in-depth coverage of the research questions, basic concepts, and various theoretical approaches, the Handbook addresses newly emerging subfields and shows their contribution to the discipline. The Handbook introduces fields of study that have become central to cognitive linguistics, such as conceptual mappings and construction grammar. It explains all the main areas of linguistic analysis traditionally expected in a full linguistics framework, and includes fields of study such as language acquisition, sociolinguistics, diachronic studies, and corpus linguistics. Setting linguistic facts within the context of many other disciplines, the Handbook will be welcomed by researchers and students in a broad range of disciplines, including linguistics, cognitive science, neuroscience, gesture studies, computational linguistics, and multimodal studies. Shows that cognitive linguistics is a paradigm which can naturally compete with generative linguistics Demonstrates that work done within cognitive linguistics can offer a broader view of language than work done within other frameworks Places cognitive linguistics in the context of broad theories of cognitive science, experimental neuroscience, and language pedagogy, showing readers the rich connections and interdisciplinary temperament of the field. © Cambridge University Press 2017.",,,,,,,,,Dancygier B.,,,,,,
New Directions for Academic Libraries in Research Staffing: A Case Study at National University of Ireland Galway,8,10.1080/13614533.2017.1316748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019018939&doi=10.1080%2f13614533.2017.1316748&partnerID=40&md5=f160056360c20ee74bf189020f919a6d,"New research needs, global developments and local shifts in emphasis are demanding a broader range of interactions by librarians with researchers and are challenging previous staffing structures. Research has a higher institutional profile and academic libraries have responded by creating new roles and staffing models, with stronger linkage across campus as partners rather than supporters. Particular circumstances at National University of Ireland Galway have shaped its Library's staffing configuration for research. These include the emergence of digital scholarship across campus, opportunities offered by a new research building, the growing importance of archives and the publication of a new institutional strategy. Significant reductions in staffing and budget are influential too. Distinctive features in the revised staffing model are organization by function instead of subject, prioritization of engagement with digital scholarship, distributed management of archives and special collections, and a particular emphasis on contribution across multiple teams. This case study reports early gains and challenges. © 2017, Published with license by Taylor & Francis Group, LLC © 2017, © John Cox.",Library staff,researchers,roles,strategy,university libraries,,,,Cox J.,,,,,,
Cultural presence in virtual archaeology: An exploratory analysis of factors,5,10.1162/PRES_a_00296,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047309552&doi=10.1162%2fPRES_a_00296&partnerID=40&md5=3f6e6a878fa3548876da7565dfa85bb1,"Shared between Human-Computer Interaction and Cultural Heritage, the concept of Cultural Presence may provide an encompassing theoretical and methodological framework for Virtual Archaeology. The factors underlying presence have been extensively investigated, by means of both particular analyses as well as general statistical approaches. Yet, Cultural Presence has mostly been defined theoretically, and there are no global empirical examinations of it. The goal of this study is to verify the validity of the concept and to understand its underlying factors in the field of Virtual Archaeology. To that end we established an operational definition of Cultural Presence, we built a virtual reconstruction of an archaeological site based on it, and we evaluated the environment by means of self-reports and exploratory factor analysis. The general conclusion is that the concept of Cultural Presence is sound and composed of three main factors (cultural representation and engagement, social presence, and communicational aspects of technology); yet, it is not universal, but influenced by purpose and demographic variables. © 2017 by the Massachusetts Institute of Technology.",,,,,,,,,Pujol-Tost L.,,,,,,
Scholarly use of social media and altmetrics: A review of the literature,262,10.1002/asi.23833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021243688&doi=10.1002%2fasi.23833&partnerID=40&md5=ad2d2cfa60821a35160e51104da34388,"Social media has become integrated into the fabric of the scholarly communication system in fundamental ways, principally through scholarly use of social media platforms and the promotion of new indicators on the basis of interactions with these platforms. Research and scholarship in this area has accelerated since the coining and subsequent advocacy for altmetrics—that is, research indicators based on social media activity. This review provides an extensive account of the state-of-the art in both scholarly use of social media and altmetrics. The review consists of 2 main parts: the first examines the use of social media in academia, reviewing the various functions these platforms have in the scholarly communication process and the factors that affect this use. The second part reviews empirical studies of altmetrics, discussing the various interpretations of altmetrics, data collection and methodological limitations, and differences according to platform. The review ends with a critical discussion of the implications of this transformation in the scholarly communication system. © 2017 ASIS&T",,,,,,,,,Sugimoto C.R.,Work S.,Larivière V.,Haustein S.,,,
Shifting expectations: Revisiting core concepts of academic librarianship in undergraduate classes with a digital humanities focus,4,10.1080/10691316.2017.1325346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019548306&doi=10.1080%2f10691316.2017.1325346&partnerID=40&md5=ab8dc5765ded99c9ab5c4480ce24837c,"This article explores best practices for supporting digital humanities (DH) activity and pedagogy in the undergraduate classroom on campuses without a DH center in the library. By examining specific aspects of librarians' curricular engagements, with a particular focus on reference and instructional activity, we discuss how reenvisioning these services aids in the development of effective support for both faculty and students engaged in DH. An included case study illustrates how redefining “traditional” librarian liaison roles and shifting expectations of faculty from one-shot instruction sessions to embedded librarianship models can be put into practice in undergraduate classrooms with a DH focus. The article concludes with a discussion of the librarian as digital humanist and how this role can positively impact undergraduate curricula. © 2017, Published with license by Taylor & Francis © 2017, © Melanie Griffin and Tomaro I. Taylor.",Digital humanities resources,embedded librarianship,instructional support,pedagogy,reference,,,,Griffin M.,Taylor T.I.,,,,,
Exploring the (missed) connections between digital scholarship and faculty development: a conceptual analysis,2,10.1186/s41239-017-0058-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026779721&doi=10.1186%2fs41239-017-0058-x&partnerID=40&md5=49ec2a9494b7776fd692a1f832899fb7,"The aim of this paper is to explore the relationship between two research topics: digital scholarship and faculty development. The former topic drives attention on academics’ new practices in digital, open and networked contexts; the second is focused on the requirements and strategies to promote academics’ professional learning and career advancement. The research question addressing this study is: are faculty development strategies hindered by the lack of a cohesive view in the research on digital scholarship? The main assumption guiding this research question is that clear conceptual frameworks and models of professional practice lead to effective faculty development strategies. Through a wide overview of the evolution of both digital scholarship and faculty development, followed by a conceptual analysis of the intersections between fields, the paper attempts to show the extent on which the situation in one area (digital scholarship) might encompass criticalities for the other (faculty development) in terms of research and practices. Furthermore, three scenarios based on the several perspectives of digital scholarship are built in order to explore the research question in depth. We conclude that at the current state of art the relationship between these two topics is weak. Moreover, the dialogue between digital scholarship and faculty development could put the basis to forge effective professional learning contexts and instruments, with the ultimate goal of supporting academics to become digital scholars towards a more open and democratic vision of scholarship. © 2017, The Author(s).",Digital scholarship,Educational technology,Information science,Interdiscipline,Open science,,,,Raffaghelli J.E.,,,,,,
New Methods of Bringing Image Data into Historical Linguistics: A Case Study with Medical Writing 1500–1700,1,10.1080/00393274.2017.1376595,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031819772&doi=10.1080%2f00393274.2017.1376595&partnerID=40&md5=6117c265d0aacef72f39ecc5be1e2de2,"In recent years, advances in text annotation, the computational analysis of images and quantitative corpus linguistics have introduced new and exciting approaches to the study of text and paratext that combine the perspectives of historical linguistics and book history. However, so far most corpus-based research in this field has been hampered by the manual nature of the visual analyses (see, e.g., Tyrkkö, Marttila & Suhr 2013 and Tyrkkö 2013). The manual measuring and evaluation of visual features in a consistent manner is both slow and prone to human error, particularly with volumes of texts sufficient for statistical interrogation. As a result, while the linguistic analysis of historical texts can be rigorously systematic and corpus-based, the visual data, when taken into account at all, have typically been rather scarce and anecdotal in nature. In this paper, I will discuss new computational methods of analysing diachronic changes in visual features of title-pages and body text, and of combining that information with linguistic data. Using two linguistic corpora, Early Modern English Medical Texts and Late Modern English Medical Texts, and ImagePlot 1.1, a tool designed for the analysis of visual data, I will first map the paratextual features of the medical books and turn them into a matrix of statistically usable data points (Manovich 2012, 2013) for further processing. © 2017 Society for Studia Neophilologica.",corpus,diachronic,early modern,image analysis,Paratext,printing,stylometry,title-page,Tyrkkö J.,,,,,,
Approaches to creating ‘humane’ research evaluation metrics for the humanities,2,10.1629/uksg.445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068187095&doi=10.1629%2fuksg.445&partnerID=40&md5=27a53ddf4531ee52322f29cd2711ca57,"There are many complexities and challenges associated with developing ‘humane’ research evaluation metrics in the humanities. This monumental task can only be addressed by reverse engineering evaluation metrics based upon the practices and values that funders, institutions, professional societies and individuals want to encourage in their disciplines. The work of the HuMetricsHSS initiative is described in this article as a framework for doing so. © 2018 Stacy Konkiel.",Bibliometrics,Evaluation,Humanities,Indicators,Research metrics,,,,Konkiel S.,,,,,,
Collaboration in digital humanities research – Persisting silences,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061351073&partnerID=40&md5=d5e555b1dbe0724ac4a5f36e01fcc686,"Collaboration has become a hallmark of Digital Humanities (DH) research. Nonetheless it remains under-discussed and for those not deeply engaged in DH a bit of a mystery. Drawing on recent DH work and publications that engage with questions of DH collaboration in different ways (e.g. [Deegan and McCarthy] [Griffin and Hayler 2016] [Hayler and Griffin 2016]), we analyse three types of DH collaboration: 1) human-human interactions; 2) human-machine/material interactions; and 3) machine/material-machine/material interactions. We argue that engagement with collaboration processes and practices enables us to think through how DH tools and practices reinforce, resist, shape, and encode material realities which both pre-exist, and are co-produced by them. We suggest that understanding these entanglements facilitates a critical DH in which academic hierarchies and disciplinary preconceptions are challenged. © 2018, Alliance of Digital Humanities Organisations. All rights reserved.",,,,,,,,,Griffin G.,Hayler M.S.,,,,,
Towards place-based exploration of Instagram: Using co-design to develop an interdisciplinary geovisualization prototype: Linked geovisualization and co-occurrence networks with qualitative analytics for exploring perceptions of cultural routes,2,10.5311/JOSIS.2018.17.393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059934616&doi=10.5311%2fJOSIS.2018.17.393&partnerID=40&md5=dfc720cf0953d1a19494d9e4efd4bb5c,"An abundance of geographic information is hidden within texts and multimedia objects that has the potential to enrich our knowledge about the relationship between people and places. One such example is the geographic information embedded within user-generated content collected and curated by the social media giants. Such geographic data can be encoded either explicitly as geotags or implicitly as geographical references expressed as texts that comprise part of a title or image caption. To use such data for knowledge building there is a need for new mapping interfaces. These interfaces should support both data integration and visualization, and geographical exploration with openended discovery. Based on a user scenario on the Via Francigena (a significant European cultural route), we set out to adapt an existing humanities interface to support social and spatial exploration of how the route is perceived. Our dataset was derived from Instagram. We adopted a thinking by doing approach to co-design an interdisciplinary prototype and discuss the six stages of activity, beginning with the definition of the use case and ending in experimentation with a working technology prototype. Through reflection on the process of tool modification and an in-depth exploration of the data encoding, we were better able to understand the strengths and limitations of the data, the tool, and the underlying workflows. This in-depth knowledge helped us to define a set of requirements for tools and data that will serve as a valuable contribution for those engaged in the design of deep mapping interfaces for place-based research. © by the author(s).",Co-design,Co-occurrence graphs,Cultural routes,Deep maps,Geovisualization,Instagram,Interfaces,Social media,Jones C.E.,Guido D.,Severo M.,,,,
Bibliography,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059224963&partnerID=40&md5=1be2086a55bdda09b76d75da650d542a,[No abstract available],,,,,,,,,[No author name available],,,,,,
Reflections on the use of social networking sites as an interactive tool for data dissemination in digital archaeology,1,10.24916/iansa.2018.1.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058090442&doi=10.24916%2fiansa.2018.1.1&partnerID=40&md5=d38167e5e0d3efbc3aa8d0cee70b68e1,"Based on a case study, the paper analyses the possibilities of social media as a tool for science communication in the context of information and communication technology (ICT) usage in archaeology. Aside from discussing the characteristics of digital archaeology, the social networking sites (SNS) Twitter, Sketchfab, and ResearchGate are integrated into a digital research data dissemination tool. As a result, above-average engagement rates with few impressions were observed. Compared with that, status updates focusing on actual fieldwork and other research activities gain high numbers of impressions with below-average engagement rates. It is believed that most of the interactions are restricted to a core audience and that a clearly defined social media strategy is obligatory for successful research data dissemination in archaeology, combined with regular posts in the SNS. Additionally, active followers are of highest importance. © 2018, Archaeological Centre Olomouc. All rights reserved.",Data dissemination,Digital archaeology,Information and communication technologies,Open access,Public archaeology,Researchgate,Science communication,Sketchfab,Hagmann D.,,,,,,
Disseminating research information through Facebook and Twitter (DRIFT): Presenting an evidence-based framework,10,10.7748/nr.2018.e1562,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055424831&doi=10.7748%2fnr.2018.e1562&partnerID=40&md5=6abbca92eb4b1b96bb494981915ffbdc,"Background: The social media platform Facebook boasts of having more than 1,284 million daily active users globally. A large proportion of adults use the internet to seek health-related information. Aim: To critically analyse the use of social media to engage parents of children with attention deficit hyperactivity disorder (ADHD) with the findings of clinical research. Discussion: Observation and qualitative content analysis combined with Facebook Audience Insights were used to evaluate the levels of engagement and interaction with different types of research information. More than 1,100 people from 41 nations engaged with the group. Sharing information through a range of Facebook functions was found to successfully achieve engagement and reach this demographic nationally and internationally. Conclusion: Lay research users are eager to engage and understand clinical research. Social media platforms are an appropriate way to disseminate research. © RCN Publishing Company Limited 2018",Communication,Critical realist evaluation,Qualitative research,Research,Social media,,,,Ryan G.,Sfar-Gandoura H.,,,,,
From transaction to collaboration: Scholarly communications design at UConn Library,1,10.1629/uksg.405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054275239&doi=10.1629%2fuksg.405&partnerID=40&md5=69b17f2ce206de9e108febb325e62316,"The University of Connecticut (UConn) Library, in collaboration with the School of Fine Arts and the UConn Humanities Institute and with support from the Andrew W Mellon Foundation, is developing Greenhouse Studios (GS). GS is a scholarly communications research laboratory dedicated to using collaborative models and design principles in the creation of scholarly works. Scholarship laboratories that function as a combination of a scientific research lab and an art studio are a useful means of advancing the methods and outcomes of scholarly communications. We intend to examine whether flattening hierarchies through the GS model is a significant challenge for librarians who work within transactional models of interaction and are closely tied to faculty-driven service models of research support. Other participants typically thought of as supporting faculty are embedded as equal participants in the design process. We will apply qualitative methods to examine whether the GS design process facilitates development of new models of interaction among faculty, librarians, design technologists and other experts. Preliminary experience finds most participants embrace the collaborative model and are energized by the experience. Our assessment will focus on GS techniques as drivers for role and scholarly output changes, how these experiences might translate into changes in library culture or services, and on practical findings related to space, technology usage and administrative hurdles. This paper is the result of a presentation delivered at CNI (the Coalition for Networked Information) in early 20171 and encapsulates our thinking then and now (in early 2018) as we refine our assessment tools. © 2018 Holly Jeffcoat and Gregory Colati.",Digital humanities,Digital humanities laboratories,Digital scholarship,Libraries,,,,,Jeffcoat H.,Colati G.,,,,,
The oxford companion to the English language,30,10.1093/acref/9780199661282.001.0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052178561&doi=10.1093%2facref%2f9780199661282.001.0001&partnerID=40&md5=cb940a5a5693f6afae3cb2ddced6b1ee,"The Oxford Companion to the English Language provides an authoritative single-volume source of information about the English language. It is intended both for reference and for browsing. The first edition of this landmark Companion, published in 1998, adopted a strong international perspective, covering topics from Cockney to Creole, Aboriginal English to Caribbean English and a historical range from Chaucer to Chomsky, Latin to the World Wide Web. It succinctly described and discussed the English language at the end of the twentieth century, including its distribution and varieties, its cultural, political, and educational impact worldwide, its nature, origins, and prospects, and its pronunciation, grammar, vocabulary, word-formation, and usage. This new edition notably focuses on World Englishes, English language teaching, English as an international language, and the effect of technological advances on the English language. More than 130 new entries include African American English, British Sign Language, China English, digital literacy, multimodality, social networking, superdiversity, and text messaging, among many others. It also includes new biographical entries on key individuals who have had an impact on the English language in recent decades, including Beryl (Sue) Atkins, Adam Kilgariff, and John Sinclair. It is an invaluable reference for English Language students, and fascinating reading for any general reader with an interest in language. © Tom McArthur 1992, 1998, 2005.",,,,,,,,,McArthur T.,Lam-McArthur J.,Fontaine L.,McArthur R.,,,
Digital criminology: Crime and justice in digital society,62,10.4324/9781315205786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047042832&doi=10.4324%2f9781315205786&partnerID=40&md5=cc81ba2609d904db4160ac5bbe1dc0d2,"The infusion of digital technology into contemporary society has had significant effects for everyday life and for everyday crimes. Digital Criminology: Crime and Justice in Digital Society is the first interdisciplinary scholarly investigation extending beyond traditional topics of cybercrime, policing and the law to consider the implications of digital society for public engagement with crime and justice movements. This book seeks to connect the disparate fields of criminology, sociology, legal studies, politics, media and cultural studies in the study of crime and justice. Drawing together intersecting conceptual frameworks, Digital Criminology examines conceptual, legal, political and cultural framings of crime, formal justice responses and informal citizen-led justice movements in our increasingly connected global and digital society. Building on case study examples from across Australia, Canada, Europe, China, the UK and the United States, Digital Criminology explores key questions including: What are the implications of an increasingly digital society for crime and justice? What effects will emergent technologies have for how we respond to crime and participate in crime debates? What will be the foundational shifts in criminological research and frameworks for understanding crime and justice in this technologically mediated context? What does it mean to be a ‘just’ digital citizen? How will digital communications and social networks enable new forms of justice and justice movements? Ultimately, the book advances the case for an emerging digital criminology: extending the practical and conceptual analyses of ‘cyber’ or ‘e’ crime beyond a focus foremost on the novelty, pathology and illegality of technology-enabled crimes, to understandings of online crime as inherently social. © 2018 Taylor & Francis.",,,,,,,,,Powell A.,Stratton G.,Cameron R.,,,,
"A survey of augmented, virtual, and mixed reality for cultural heritage",322,10.1145/3145534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045153529&doi=10.1145%2f3145534&partnerID=40&md5=7d68ff9dcc3fe7a7d995a8fe2df1e787,"A multimedia approach to the diffusion, communication, and exploitation of Cultural Heritage (CH) is a well-established trend worldwide. Several studies demonstrate that the use of new and combined media enhances how culture is experienced. The beneft is in terms of both number of people who can have access to knowledge and the quality of the diffusion of the knowledge itself. In this regard, CH uses augmented-, virtual-, and mixed-reality technologies for different purposes, including education, exhibition enhancement, exploration, reconstruction, and virtual museums. These technologies enable user-centred presentation and make cultural heritage digitally accessible, especially when physical access is constrained. A number of surveys of these emerging technologies have been conducted; however, they are either not domain specific or lack a holistic perspective in that they do not cover all the aspects of the technology. A review of these technologies from a cultural heritage perspective is therefore warranted. Accordingly, our article surveys the state-of-the-art in augmented-, virtual-, and mixed-reality systems as a whole and from a cultural heritage perspective. In addition, we identify specific application areas in digital cultural heritage and make suggestions as to which technology is most appropriate in each case. Finally, the article predicts future research directions for augmented and virtual reality, with a particular focus on interaction interfaces and explores the implications for the cultural heritage domain. © 2018 ACM.",Augmented reality,Cultural heritage,Mixed reality,Virtual reality,,,,,Bekele M.K.,Pierdicca R.,Frontoni E.,Malinverni E.S.,Gain J.,,
Automated text analysis for consumer research,238,10.1093/jcr/ucx104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044845432&doi=10.1093%2fjcr%2fucx104&partnerID=40&md5=ab753077541a30c6cabb5d2a0cbd8c85,"The amount of digital text available for analysis by consumer researchers has risen dramatically. Consumer discussions on the internet, product reviews, and digital archives of news articles and press releases are just a few potential sources for insights about consumer attitudes, interaction, and culture. Drawing from linguistic theory and methods, this article presents an overview of automated text analysis, providing integration of linguistic theory with constructs commonly used in consumer research, guidance for choosing amongst methods, and advice for resolving sampling and statistical issues unique to text analysis. We argue that although automated text analysis cannot be used to study all phenomena, it is a useful tool for examining patterns in text that neither researchers nor consumers can detect unaided. Text analysis can be used to examine psychological and sociological constructs in consumerproduced digital text by enabling discovery or by providing ecological validity. © The Author 2017. Published by Oxford University Press on behalf of Journal of Consumer Research, Inc. All rights reserved.",Automated content analysis,Automated text analysis,Computational linguistics,Computer-assisted text analysis,,,,,Humphreys A.,Wang R.J.-H.,,,,,
A social haptic device to create continuous lateral motion using sequential normal indentation,44,10.1109/HAPTICS.2018.8357149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047952881&doi=10.1109%2fHAPTICS.2018.8357149&partnerID=40&md5=1aefee97487cf76e6a15ba2827478942,"Touch is an essential method for communicating emotions between individuals. Humans use a variety of different gestures to convey these emotions, including squeezes, pats, and strokes. This paper presents a device for creating a continuous lateral motion on the arm to mimic a subset of the gestures used in social touch. The device is composed of a linear array of voice coil actuators that is embedded in a fabric sleeve. The voice coils are controlled to sequentially press into the user's arm to create the sensation of linear travel up the arm. We evaluate the device in a human-subject study to confirm that a linear lateral motion can be created using only normal force, and to determine the optimal actuation parameters for creating a continuous and pleasant sensation. The results of the study indicated that the voice coils should be controlled with a long duration for each indentation and a short delay between the onset of indentation between adjacent actuators to maximize both continuity and pleasantness. © 2018 IEEE.",,,,,,,,,Culbertson H.,Nunez C.M.,Israr A.,Lau F.,Abnousi F.,Okamura A.M.,
"Enjoying death among gamers, viewers, and users: A network visualization of Dark Souls 3’s trends on Twitch.tv and steam platforms",10,10.1177/1473871617717075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046604692&doi=10.1177%2f1473871617717075&partnerID=40&md5=c169c5af64efc87c16404a60320f8867,"In current Game Research, gaming service platforms such as PlayStation Network, Steam, and Twitch.tv represent a still poorly investigated topic. Despite the millions of monthly viewers and members, little efforts have been done to shed light on their dynamics and trends. This article aims to address such a lack by presenting the findings of an empirical inquiry guided by the key concepts of ‘‘platform’’ and ‘‘actor–network the-ory’’ with the support of a novel network visualization technique. Specifically, the role-playing game Dark Souls 3–related activity on Steam and Twitch.tv was collected for the first 20 days from the release (12 April– 1 May 2016). Targeted data concerned several variables among which: most viewed streamers, streaming types, debating topics and reviews’ highlights on Steam (etc.) through screenshots, user-generated content, and text gathering. Data were processed and then visualized with the network-oriented software Gephi for uncovering associations and patterns in the targeted online environments. The action game The Division worked as an exploratory case study and counter-example for stressing the proposal. Although with some limitations, the visualization strategy adopted (four networks for each platform) proved to be effective in framing and communicating the results in a straightforward way. Finally, findings enlightened a phenomenon (i.e. gaming service platforms), that is, getting increasingly central in digital entertainment, and might inform further investigations with alternative designs and focuses. © The Author(s) 2017.",Actor-network theory,Dark souls 3,Game audiences,Network visualization,Platform,Steam,The division,Twitch.tv,Gandolfi E.,,,,,,
"Notes on global reading: Critical cultural traversals, transactions and transformations",1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112182524&partnerID=40&md5=87b3e60b89f2a5df0584281240effc7e,[No abstract available],,,,,,,,,Tierney R.J.,,,,,,
