Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Town in 3D: Teaching and Reinterpreting Slavery Virtually at a Living History Museum,1,10.1145/3431924,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108022225&doi=10.1145%2f3431924&partnerID=40&md5=5d9cab05cfdfa298c5ccba4434315c83,"This article presents a case of collaborative pedagogy of digital humanities involving a virtual version of historic Salem, North Carolina. ""Hidden Town in 3D""is a partnership between Middle Tennessee State University's Public History, Animation, and Aerospace programs, and Old Salem Museums and Gardens. The object of Hidden Town in 3D is to use digital technologies to recover and represent the stories of the African Americans of Salem. The anticipated outputs for this project are an augmented reality application that can be used on-site at Old Salem, allowing visitors to see slave dwellings where they once stood and a virtual tour using gaming technology of the entire town in the year 1860 with African-American stories and homes reintegrated. Along with enhancing the museum's visitor experience, these outputs enhance the educational experiences of undergraduate and graduate students through interdisciplinary, project-based learning. Thus, the technical work of modeling, animating, and augmented reality benefits teaching, historical scholarship, and museum offerings. © 2021 ACM.",augmented reality,digital history,high-impact teaching,interdisciplinary collaboration,interpreting slavery,Museum,pedagogy,photogrammetry,Lewis R.,Taylor-Poleskey M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landscape/mindscape/langscape: The ephemerality of the digital and of the real in Marlene Creates’s video-poems for ice and snow,0,10.1007/s11059-021-00584-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108007376&doi=10.1007%2fs11059-021-00584-z&partnerID=40&md5=28815388f60e13d66ffc168ec16f86c9,"The present essay aims at illustrating Marlene Creates’s web project Brickle, nish, and knobbly (2015), as a key example of Eco-Digital Humanities. First of all, it is a digital work of art made of ice images. Besides, it is also a digital archive meant to salvage a linguistic treasury of local idioms that both name and describe all types of snow and ice formations in Newfoundland, Canada. Therefore, the present analysis proves the special quality and inevitable ephemeral status of this project, for it constitutes a multimodal and multimedia web-archive, subject to possible erasure, or obsolescence in the face of new computer programmes and platforms developments. The archive is also an open instrument for everybody’s use: a digital audio-visual (poetic) dictionary, that ultimately functions as a challenge to climate change effects, that might dissolve both the ice formations and the language that accompanies them. Since the real world is no less ephemeral than the world of the web, this contribution also proves how Marlene Creates’s artwork envisions and embraces an ecological salvaging of our present and future landscape, mindscape, and langscape. © 2021, The Author(s).",Climate change,Eco-digital humanities,Ephemerality,Ice,Snow,,,,Concilio C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape as a function of time + raw material + burial context? An exploratory analysis of Perdiz arrow points from the ancestral Caddo area of the American Southeast,3,10.1016/j.jasrep.2021.102916,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105013693&doi=10.1016%2fj.jasrep.2021.102916&partnerID=40&md5=c70861749e505ff29c83482fabcfaf7a,"Temporal assignments carry substantive weight, and archaeologists regularly assume that artefacts from discrete temporal units may differ in ways that convey changes in preference or behaviour. Similarly, archaeologists regularly assume that raw material differences articulate with stone tool morphology, and the role of differential raw material quality and preference associated with Caddo lithic technology remains largely unexplored. Whether a particular artefact is found in or outside of burial contexts is a sensitive and regularly discussed topic in the archaeological literature, providing valuable insights related to prehistoric burial practices, as well as generational shifts in aesthetics, design, and raw material preferences. These assumptions were tested using geometric morphometrics, yielding results in support of the hypothesis that Perdiz arrow point shape is protean, and that significant differences existed in shape by time, raw material, and burial context. © 2021 The Author(s)",Computational archaeology,Digital archaeology,Digital humanities,Elliptical Fourier Analysis,Museum studies,NAGPRA,STEM,,Selden Jr. R.Z.,Dockall J.E.,Bousman C.B.,Perttula T.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 3D digitisation workflow for architecture-specific annotation of built heritage,2,10.1016/j.jasrep.2020.102787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104919562&doi=10.1016%2fj.jasrep.2020.102787&partnerID=40&md5=3484aa82c8ccea86af31a7c837ab9f23,"Contemporary discourse points to the central role that heritage plays in the process of enabling groups of various cultural or ethnic background to strengthen their feeling of belonging and sharing in society. Safeguarding heritage is also valued highly in the priorities of the European Commission. As a result, there have been several long-term initiatives involving the digitisation, annotation and cataloguing of tangible cultural heritage in museums and collections. Specifically, for built heritage, a pressing challenge is that historical monuments such as buildings, temples, churches or city fortification infrastructures are hard to document due to their historic palimpsest; spatial transformations, actions of destruction, reuse of material, or continuous urban development that covers traces and changes the formal integrity and identity of a cultural heritage site. The ability to reason about a monument's form is crucial for efficient documentation and cataloguing. This paper presents a 3D digitisation workflow through the involvement of reality capture technologies for the annotation and structure analysis of built heritage with the use of 3D Convolutional Neural Networks (3D CNNs) for classification purposes. The presented workflow contributes a new approach to the identification of a building's architectural components (e.g., arch, dome) and to the study of the stylistic influences (e.g., Gothic, Byzantine) of building parts. In doing so this workflow can assist in tracking a building's history, identifying its construction period and comparing it to other buildings of the same period. This process can contribute to educational and research activities, as well as facilitate the automated classification of datasets in digital repositories for scholarly research in digital humanities. © 2021 Elsevier Ltd",3D data,Architectural structure,Convolutional neural network,Deep learning,Monument,,,,Deligiorgi M.,Maslioukova M.I.,Averkiou M.,Andreou A.C.,Selvaraju P.,Kalogerakis E.,Patow G.,Chrysanthou Y.,Artopoulos G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complicating the Social Networks for Better Storytelling: An Empirical Study of Chinese Historical Text and Novel,2,10.1109/TCSS.2021.3061702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103213862&doi=10.1109%2fTCSS.2021.3061702&partnerID=40&md5=2ac5d28c19d063dc1852c41c570177b3,"Digital humanities is an important subject because it enables developments in history, literature, and films. In this article, we perform an empirical study of a Chinese historical text, Records of the Three Kingdoms (Records), and a historical novel of the same story, Romance of the Three Kingdoms (Romance). We employ deep-learning-based natural language processing (NLP) techniques to extract characters and their relationships. The adopted NLP approach can extract 93% and 91% characters that appeared in the two books, respectively. Then, we characterize the social networks and sentiments of the main characters in the historical text and the historical novel. We find that the social network in Romance is more complex and dynamic than that of Records, and the influence of the main characters differs. These findings shed light on the different styles of storytelling in the two literary genres and how the historical novel complicates the social networks of characters to enrich the literariness of the story. © 2014 IEEE.",Complex networks,social network analysis (SNA),text mining,,,,,,Zhang C.,Zhang Q.,Yu S.,Yu J.J.Q.,Song X.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historical geocoding assistant,1,10.1016/j.softx.2021.100682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101862045&doi=10.1016%2fj.softx.2021.100682&partnerID=40&md5=2e9ed4146b4603018f2eb7ccd52f8d10,"The growing use of geographic information systems (GIS) and geographical analyses in different areas of the digital humanities highlights the need for geocoding, i.e. assigning geographic coordinates to records in a dataset. Such spatially-referenced datasets are a precondition for any spatial analysis and visualization. While GIS in general is a dynamically evolving branch of software development, there is a need for specialized applications which would assist researchers in geocoding datasets in history, archaeology, and the digital humanities. Therefore, we developed the “Historical Geocoding Assistant”, an open-source web tool that meets the specific needs of historical research and brings a solution to geocoding historical data in a convenient, fast, and reliable way. © 2021 The Author(s)",Gazetteer,Geocoding,GIS,Historical data,Web-based application,,,,Mertel A.,Zbíral D.,Stachoň Z.,Hořínková H.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Surveillance in a Swedish Context between acceptance and resistance,1,10.2478/nor-2020-0022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099057261&doi=10.2478%2fnor-2020-0022&partnerID=40&md5=aeda45f61b813ceca6588c739aa9478d,"Users of digital media leave traces that corporations and authorities can harvest, systematise, and analyse; on the societal level, an overall result is the emergence of a surveillance culture. In this study, we examine how people handle the dilemma of leaving digital footprints: what they say they do to protect their privacy and what could legitimise the collection and storing of their data. Through a survey of almost 1,000 students at Umeå University in Sweden, we find that most respondents know that their data are used and choose to adjust their own behaviour rather than adopting technical solutions. In order to understand contemporary forms of surveillance, we call for a humanistic approach-an approach where hermeneutic and qualitative methods are central. © 2020 Coppélie Cocq et al., published by Sciendo 2020.",digital humanities,online surveillance,privacy paradox,soft surveillance,surveillance culture,,,,Cocq C.,Gelfgren S.,Samuelsson L.,Enbom J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mapping Exile: Khodasevich's ‘European Night’, 1922–1927",0,10.1016/j.ruslit.2021.07.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112469891&doi=10.1016%2fj.ruslit.2021.07.007&partnerID=40&md5=3ebb942ccfa6711d2796ec17bb162d2f,"Using Vladislav Khodasevich's 1927 collection ‘European Night’ (‘Evropeiskaia noch’’) as a case study, this article argues for the notion of travel as a new approach to the field of émigré literature. Khodasevich's poems in ‘European Night’, marked with the dates and place of composition, and implicitly iterative of the contours of a Europe with which his original émigré audience was intimately familiar, represent both an autobiographical narrative and a cartographic attempt to sketch a conceptual map of European exile. Using four visualizations of the coordinates of Khodasevich's travel, composition, place, and publication to investigate the poet's experience and literary output in Europe during these years, I argue that the force of geography on literary production (literature in space) was especially active between 1922 and 1927. This article therefore makes the case for an atlas of the Russian emigration. © 2021 Elsevier B.V.",Digital Humanities,Exile,Mapping,Vladislav Khodasevich,Émigré,,,,Parker L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Understanding Russia in 3D: A Curricular Experiment in Cultural Identity,1,10.1016/j.ruslit.2021.07.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112458427&doi=10.1016%2fj.ruslit.2021.07.010&partnerID=40&md5=94f6ce8ba098c1325e4ed15eb5ce799a,"Scholars in various fields have started to embrace the digital humanities, but there has been a delay in involving undergraduates. Challenges such as unfamiliarity with applications, lack of understanding about the overall purpose of projects, and insufficient resources all contribute to creating a barrier between the digital humanities and students. However, collaboration between scholars and library staff can create new learning opportunities for students that allow them to see the value in digital approaches to pedagogy and view the humanities through new perspectives. This article outlines a collaborative effort between the University of Virginia's Slavic Department and Library's Scholars’ Lab to implement a digital humanities project in a pre-existing semester-long undergraduate culture course. In this project, students were asked to print and present to one another 3D objects representing Russia and then curate an exhibition of these objects. At the semester's end, the students reflected on the appropriateness of their objects as symbols of Russia, given their increased knowledge of Russian culture. We draw on research in cultural pedagogy and digital scholarship to offer a new way of interpreting and teaching cultural understanding. © 2021 Elsevier B.V.",3D Printing,Cultural Pedagogy,Digital Humanities,Identity,Russian Culture,,,,Martiniuk J.,Thompson K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distant Reading in Russian Formalism and Russian Formalism in Distant Reading,1,10.1016/j.ruslit.2021.07.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112419823&doi=10.1016%2fj.ruslit.2021.07.003&partnerID=40&md5=552451e690a935346c03160394880e64,"This article argues that both the Russian Formalists and Digital Humanists infer meaning from patterns of development in literature. Key to this comparison is the figure of Boris Iarkho, whose statistics- and biology-driven methodology based on large corpora of texts anticipated Digital Humanities by more than a half century. One of the main tasks of the article is to contextualize Iarkho's work. By comparing Iarkho with Franco Moretti, Matthew Jockers, and other Digital Humanists, I hope to demonstrate the relevance of Russian Formalism and Digital Humanities to one another. The former offers theoretical and methodological depth, the latter the opportunity to carry on with the projects launched by Iarkho and other Russian Formalists. At the same time, the comparison with Digital Humanities reveals some fundamental discrepancies within Russian Formalism, namely, between Iarkho and the group of Viktor Shklovskii. I show that they were diametrically opposed to each other in their understanding of literary evolution and form. I argue that these divergences, distinguishable in Russian Formalism thanks to Digital Humanities, can enrich our dialogue about the value, status, and meaning of literature. © 2021 Elsevier B.V.",Digital Humanities,Iarkho,Moretti,Russian Formalism,Shklovskii,,,,Lvoff B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight Moves: Russifying Quantitative Literary Studies,2,10.1016/j.ruslit.2021.07.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112416885&doi=10.1016%2fj.ruslit.2021.07.006&partnerID=40&md5=af2acdb053f0252507cbaea6a304f520,"Computational approaches to literary studies have tended to fetishize Russian Formalism. The evolving canon of Digital Humanities scholarship shows persistent leanings on Formalism and the theoretical movements that emerged in its wake, including Prague School structuralism, discourse analysis, and semiotics. Twenty-first-century scholars relive the evolutions, embattled stances, and fraught histories of modern literary theory and its founding figures, whom they claim as their predecessors – from historical poetics to the social turn of discourse analysis. As scholars working in Digital Humanities and Russian literary studies, we attempt to examine the suggestive continuities between Russian literary theory and computational literary analysis. Focusing on the posited link between discourse analysis and topic modelling, we offer a case study of topic modeling using the full run of the academic journal Slavic Review. We briefly review the process of topic modeling for literary analysis, consider some insights from topic modeling Slavic Review and, for comparison, briefly consider two other prominent journals in the field – Slavic and East European Journal and Russian Review. © 2021",Quantitative Literary Studies,Russian Formalism,Slavic Review,Topic Modeling,,,,,Bozovic M.,Chenoweth C.,Lassin J.,Kirkpatrick T.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“Somehow, I Wasn't Drawn into The Editorial Office of Novyi Mir”: Digital Approaches to the Literary Environment of Late Socialist Journals",1,10.1016/j.ruslit.2021.07.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112412626&doi=10.1016%2fj.ruslit.2021.07.008&partnerID=40&md5=83777468f382d9042e558b7fa947e71f,"Boris Eikhenbaum's 1927 essay on the literary environment (literaturnyi byt) marks an important conceptual turning point in the formalist approach to the study of literature, shifting the focus from immanent analysis of the text to what he called “literature's social mode of being.” This article revisits Eikhenbaum's approach as a point of departure for the study of late socialist literature. It explores literary periodicals in the 1960s through the lens of a bibliographical dataset which was developed as part of the digital humanities project Soviet Journals Reconnected.1 Applied to this data, quantitative methods reveal the emergence of centrifugal forces and a fragmented mode of literary production during this period. By providing a detailed discussion and documentation of computational methods and putting them into a dialogue with studies of the literary environment in the vein of Eikhenbaum, this article highlights the connections and potential research uses of digital humanities approaches for the Slavic field. © 2021 Elsevier B.V.",Digital Humanities,Late Socialism,Literary Journals,Russian Formalism,,,,,Gleissner P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Digital humanities and reading on Twitter. ""a placebo that heals in times of COVID-19",0,10.1590/S2178-149420210207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108197191&doi=10.1590%2fS2178-149420210207&partnerID=40&md5=f6df1fef8c61d63082dab41899f09095,"This article follows a computational cultural criticism to analyse the reading practices on Twitter during the COVID-19 pandemic. It analyses tweets that reference Jorge Luis Borges and Clarice Lispector, which were extracted and analysed using textual mining tools. The article demonstrates that both authors were mobilized in two different senses: In a therapeutic sense, as a way to deal with loneliness and suffering, and also to process collective and social transformations, expressing support or criticism of governmental politics dealing with COVID-19. In those ways, the article shows that reading practices on Twitter reveal the multiples ways in which people experienced the pandemic, and shaped collective and subjective experience. © 2021 Fundacao Getulio Vargas. All rights reserved.",Clarice lispector,Digital humanities,Global south,Jorge luis borges,Reading practices,Social media,,,Josiowicz A.J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellectual networks and literary field: Babel. Revista de libros,0,10.29344/0717621X.43.2557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107871446&doi=10.29344%2f0717621X.43.2557&partnerID=40&md5=341b0938cf0feb91887b8a966ee6a2b9,"The following article analyzes the intellectual network of the Argentine publication Babel. Revista de Libros (1988-1991). From a transdisciplinary perspective, the framework of sociability is examined, in dialogue with the positioning and legitimization strategies of emerging authors of 20th century Latin American literature, an approach complemented by the digital humanities. Thus, the conceptual apparatus on intellectual networks will be reviewed (Williams, Devés-Valdés, Maíz, Said), and then the requirements of these ideo-aesthetic and interpersonal relationships will be studied, divided into three sections: According to emergence, formation and consolidation of the network. © 2021 Universidad Catolica Silva Henriquez. All rights reserved.",Digital humanities,Intellectual networks,Literary field,Literary magazines,Shanghai Group,,,,Rodríguez-Alfonso A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The use of statistics to define taxonomies of film voices: a practical approach to documentary classification,0,10.1177/1470357219850591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066844356&doi=10.1177%2f1470357219850591&partnerID=40&md5=91d958a7f60a8b574a4b24756118cc31,"The study of visual content using qualitative methods currently involves much scholarly work in the field of digital humanities. Documentary films are considered among those objects defined as visual content and are therefore not the focus of most attention within Film Studies. One of the best-known researchers in this area, Bill Nichols, proposed a theoretical classification of six documentary voices that is widely recognized in academic circles. However, the classification is based on induction and intuition which, until now, have not been verified in accordance with the evidence. This study proposes a mixed qualitative and quantitative methodology that allows the authors to surpass Nichols’ model and generate a new classification based on empirical criteria. To that end, they study the opinions of users of and experts on Nichols’ theory through the card sorting technique borrowed from cognitive science that is based on multivariate statistics. In this way, they generate a hierarchy of formal cinematographic elements grouped into four documentary voices and Nicholas’ classification proposal is partly replaced as two of the voices in his model disappear but the four others are confirmed. In addition, this new model allows the authors to determine which formal elements are assigned to each one of the confirmed documentary modes and with what relative weights, thereby opening up the possibility of generating a predictive model. The article therefore demonstrates that cluster analysis and other techniques borrowed from multivariate statistics can be used to empirically and quantitatively verify theories in film studies as well as in other areas such as poetics. This suggests that it is possible to verify empirically and use quantitative models for the study of visual content and complement other methods based on induction and intuition. © The Author(s) 2019.",card sorting,cluster analysis,documentary film,study of film visual documentary,taxonomies,,,,Villanueva Baselga S.,Perez-Montoro M.,Sánchez L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A conceptual model to increase the visibility and usage of cultural heritage objects: The case of UNESCO's Memory of the World list,0,10.1093/llc/fqz091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126788524&doi=10.1093%2fllc%2ffqz091&partnerID=40&md5=0a489e3c0b99249c38b734d4a0d33a0e,"Cultural heritage connects the past with the future by forming an integral part of the identities of societies. Thus, countries must protect their cultural heritage and create policies to ensure that people benefit today and pass the heritage on to future generations. Beyond physical protection in the face of globalization, increasing access to cultural heritage is necessary to ensure participation and evaluate practices from an international perspective. Advances in computer and communication technologies are being exploited for these requirements. Acquiring knowledge about and interacting with cultural objects in any part of the world today is possible through the digital humanities approach. In this study, a conceptual model was formed to increase visibility and usage of Kandilli Observatory and Earthquake Research Institute Manuscripts, the Hittite cuneiform tablets from Bogazköy, the works of Ibn Sina at the Süleymaniye Manuscript Library, Evliya Çelebi's 'Book of Travels', and the Old Assyrian Merchant Archives of Kültepe registered in UNESCO's Memory of the World List. In this model, which is prepared with the digital humanities approach, best practices applied in the field are considered as examples in the literature. Suggestions are made on how to utilize digital humanities tools to increase access and visibility by revealing the economic, social, and cultural values of the works based on the model. © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of EADH. All rights reserved. For permissions, please email: journals.permissions@oup.com.",,,,,,,,,Akça A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attention, attention, exploring minds acknowledge digital structure!' the shift to digital humanities has happened, so what should information scientists do in response?",1,10.1093/llc/fqaa008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126644066&doi=10.1093%2fllc%2ffqaa008&partnerID=40&md5=23c174754e09be4357274d6f7aaf431f,"This article examines the impact of the digital humanities on information science and information scientists and how information scientists can contribute to digital collaborations in the digital humanities. This article uses three basic concepts-user-researcher, digital information system, and digital research object-as the framework for a description of the digital humanities shift and discusses the consequences of this shift for information science with reference to these concepts. The second part of the article investigates the two pillars of the digital humanities shift, acknowledgement of digital structure and the exploring mind, in more detail. In the case of correspondences, acknowledgement of digital structure involves respecting the 'thing-like' properties of letters that cannot be handled (searched, classified, etc.) unless they are translated into digitized metadata; this elevates metadata to genuine digital research objects. These theoretical issues are illustrated by the Prior archive, a collection of digitized letters, manuscript drafts, and other 'grey' material bequeathed from the New Zealand logician-philosopher Arthur Norman Prior. The concept of the 'exploring mind' is connected to a movement in information science, away from the needful user and information gap paradigm towards more open and exploratory information behaviour in the digital humanities. A concluding literature review examines selected works of information science that deals with non-standard, serendipitous information behaviour and identifies exploratory and serendipitous design features of information systems for the digital humanities. These features are represented in a taxonomy consisting of six design categories. © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of EADH. All rights reserved. For permissions, please email: journals.permissions@oup.com.",,,,,,,,,Engerer V.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A transdisciplinary protocol for digital scholarship,1,10.1093/llc/fqz087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126610541&doi=10.1093%2fllc%2ffqz087&partnerID=40&md5=bcd2d6f41b2f42c6f6a8d75531605b04,"While the field of digital humanities continues to evolve and expand, the affordances of the digital medium are becoming increasingly applicable to research in the field of education. This article provides an overview of some of the issues involved with publishing educational research as a digital web-based thesis. It also introduces the term multimodal theses and dissertations (MTDs) and reports on a Ph.D. research project which is an early example of an MTD in the field of education. The purpose of this article is three-fold: (1) to stand on the shoulders of those in the digital humanities to expand the growing field of digital scholarship to include education; (2) to report on a range of unanticipated affordances arising from the MTD format in addition to the obvious benefits of ease of use, embedded media, and functionality; (3) to propose a transdisciplinary protocol for digital scholarship to assist researchers, librarians, and graduate school administrators in various disciplines. © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of EADH. All rights reserved. For permissions, please email: journals.permissions@oup.com.",,,,,,,,,Jacobs B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biodigital Philosophy, Technological Convergence, and Postdigital Knowledge Ecologies",19,10.1007/s42438-020-00211-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124756895&doi=10.1007%2fs42438-020-00211-7&partnerID=40&md5=8de96008e3c3a534269e6656c3e1b89f,"New technological ability is leading postdigital science, where biology as digital information, and digital information as biology, are now dialectically interconnected. In this article we firstly explore a philosophy of biodigitalism as a new paradigm closely linked to bioinformationalism. Both involve the mutual interaction and integration of information and biology, which leads us into discussion of biodigital convergence. As a unified ecosystem, this allows us to resolve problems that isolated disciplinary capabilities cannot, creating new knowledge ecologies within a constellation of technoscience. To illustrate our arrival at this historical flash point via several major epistemological shifts in the post-war period, we venture a tentative typology. The convergence between biology and information reconfigures all levels of theory and practice, and even critical reason itself now requires a biodigital interpretation oriented towards ecosystems and coordinated Earth systems. In this understanding, neither the digital humanities, the biohumanities, nor the posthumanities sit outside of biodigitalism. Instead, posthumanism is but one form of biodigitalism that mediates the biohumanities and the digital humanities, no longer preoccupied with the tradition of the subject, but with the constellation of forces shaping the future of human ontologies. This heralds a new biopolitics which brings the philosophy of race, class, gender, and intelligence, into a compelling dialog with genomics and information. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG part of Springer Nature.",Biodigitalism,Biohumanities,Bioinformationalism,Biopolitics,Convergence,Digital humanities,Epistemology,Knowledge ecology,Peters M.A.,Jandrić P.,Hayes S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSE-ID-on-a novel framework for artwork pose clustering,0,10.3390/ijgi10040257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106514204&doi=10.3390%2fijgi10040257&partnerID=40&md5=9cd4e2d84d81bb6626a8b3e40fec8c3d,"In this work, we focus our attention on the similarity among works of art based on human poses and the actions they represent, moving from the concept of Pathosformel in Aby Warburg. This form of similarity is investigated by performing a pose clustering of the human poses, which are modeled as 2D skeletons and are defined as sets of 14 points connected by limbs. To build a dataset of properly annotated artwork images (that is, including the 2D skeletons of the human figures represented), we relied on one of the most popular, recent, and accurate deep learning frameworks for pose tracking of human figures, namely OpenPose. To measure the similarity between human poses, two alternative distance functions are proposed. Moreover, we developed a modified version of the K-Medians algorithm to cluster similar poses and to find a limited number of poses that are representative of the whole dataset. The proposed approach was also compared to two popular clustering strategies, that is, K-Means and the Nearest Point Algorithm, showing higher robustness to outliers. Finally, we assessed the validity of the proposed framework, which we named POSE-ID-on, in both a qualitative and in a quantitative way by simulating a supervised setting, since we lacked a proper reference for comparison. © 2021 by the authors.",Digital humanities,Image retrieval,Pose clustering,Pose tracking,Warburg,,,,Marsocci V.,Lastilla L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applying Text Analytics to the Mind-section Literature of the Tibetan Tradition of the Great Perfection,0,10.1145/3392047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105746600&doi=10.1145%2f3392047&partnerID=40&md5=fbaef8dac1817bb52f94de449a468fde,"Over the past decade, through a mixture of optical character recognition and manual input, there is now a growing corpus of Tibetan literature available as e-Texts in Unicode format. With the creation of such a corpus, the techniques of text analytics that have been applied in the analysis of English and other modern languages may now be applied to Tibetan. In this work, we narrow our focus to examine a modest portion of that literature, the Mind-section portion of the literature of the Tibetan tradition of the Great Perfection. Here, we will use the lens of text analytics tools based on machine learning techniques to investigate a number of questions of interest to scholars of this and related traditions of the Great Perfection. It has been necessary for us to participate in all portions of this process: corpora identification and text edition selection, rendering the text as e-Texts in Unicode using both Optical Character Recognition and manual entry, data cleaning and transformation, implementation of software for text analysis, and interpretation of results. For this reason, we hope this study can serve as a model for other low-resource languages that are just beginning to approach the problem of providing text analytics for their language. © 2021 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Digital humanities,natural language processing for low-resource languages,text analytics,,,,,,Krishna R.,Mu N.,Keutzer K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennings and variability: Corpus and structural views,0,10.1515/ejss-2020-2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104538764&doi=10.1515%2fejss-2020-2024&partnerID=40&md5=13d6e687c01af7ade8b6b495483a2025,"A casual examination of the skaldic corpus suggests that a very large proportion of kennings are unique, that is, the nouns that form a kenning are very unlikely to appear elsewhere as a kenning, even when grammatical variation is taken into account. This enormous productivity is due to the principle of variability and substitution in kennings. The phenomenon is discussed in Fidjestøl's 1974 structural analysis of the kenning system and presented there as a reversal of the principle of linguistic economy. This paper investigates this phenomenon by quantitatively analysing the kenning corpus as recorded in the skaldic database, in order to identify matching kennings within the corpus. The results are broken down according to the complexity of the kennings in question and are then examined in relation to the structural framework of the kenning system. It is shown, firstly, that a relatively small number of kennings are repeated (10-12 % of kennings are repeated), but that there is a fairly high amount of repetition among simple kennings (at least 25 % of simple kennings are found elsewhere in the corpus), suggesting that the kenning system has quantitative similarities with other linguistic systems, albeit with a much higher level of variability. © 2021 Walter de Gruyter GmbH, Berlin/Boston 2021.",corpus analysis,digital humanities,kennings,Old Norse,skaldic poetry,statistics,,,Wills T.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
